date,value,target
31.12.2021 23:45,46424.74,1
31.12.2021 23:30,46372.34,0
31.12.2021 23:15,46423.04,1
31.12.2021 23:00,46353.58,1
31.12.2021 22:45,46298.29,0
31.12.2021 22:30,46368.12,0
31.12.2021 22:15,46495.78,1
31.12.2021 22:00,46349.80,1
31.12.2021 21:45,46167.77,1
31.12.2021 21:30,46144.99,1
31.12.2021 21:15,45803.47,0
31.12.2021 21:00,45886.07,1
31.12.2021 20:45,45881.15,0
31.12.2021 20:30,46110.74,1
31.12.2021 20:15,46002.75,1
31.12.2021 20:00,45809.69,0
31.12.2021 19:45,46020.76,0
31.12.2021 19:30,46250.00,0
31.12.2021 19:15,46408.42,0
31.12.2021 19:00,46630.66,0
31.12.2021 18:45,46698.00,0
31.12.2021 18:30,46944.19,1
31.12.2021 18:15,46905.08,0
31.12.2021 18:00,46985.29,0
31.12.2021 17:45,46997.50,1
31.12.2021 17:30,46952.22,0
31.12.2021 17:15,47305.71,0
31.12.2021 17:00,47526.85,0
31.12.2021 16:45,47908.71,0
31.12.2021 16:30,48068.30,1
31.12.2021 16:15,48039.29,1
31.12.2021 16:00,48004.00,1
31.12.2021 15:45,47919.12,0
31.12.2021 15:30,47997.99,0
31.12.2021 15:15,48066.12,1
31.12.2021 15:00,48034.75,1
31.12.2021 14:45,47999.60,1
31.12.2021 14:30,47963.11,1
31.12.2021 14:15,47898.44,0
31.12.2021 14:00,47919.20,0
31.12.2021 13:45,48025.40,1
31.12.2021 13:30,47985.02,1
31.12.2021 13:15,47964.98,1
31.12.2021 13:00,47955.01,0
31.12.2021 12:45,48050.00,1
31.12.2021 12:30,47965.61,0
31.12.2021 12:15,47988.71,1
31.12.2021 12:00,47936.58,0
31.12.2021 11:45,48026.74,0
31.12.2021 11:30,48086.33,0
31.12.2021 11:15,48125.99,1
31.12.2021 11:00,48033.67,0
31.12.2021 10:45,48360.02,0
31.12.2021 10:30,48374.62,1
31.12.2021 10:15,48258.38,0
31.12.2021 10:00,48291.22,1
31.12.2021 09:45,48262.32,0
31.12.2021 09:30,48417.55,0
31.12.2021 09:15,48454.38,1
31.12.2021 09:00,48450.00,1
31.12.2021 08:45,48366.26,1
31.12.2021 08:30,47885.28,1
31.12.2021 08:15,47210.72,1
31.12.2021 08:00,47137.81,1
31.12.2021 07:45,46883.44,0
31.12.2021 07:30,47084.31,0
31.12.2021 07:15,47213.05,0
31.12.2021 07:00,47393.19,1
31.12.2021 06:45,47319.20,0
31.12.2021 06:30,47427.60,1
31.12.2021 06:15,47228.74,0
31.12.2021 06:00,47235.87,0
31.12.2021 05:45,47296.19,1
31.12.2021 05:30,47220.38,0
31.12.2021 05:15,47340.07,1
31.12.2021 05:00,47321.00,0
31.12.2021 04:45,47350.08,1
31.12.2021 04:30,47334.72,1
31.12.2021 04:15,47159.41,0
31.12.2021 04:00,47202.04,1
31.12.2021 03:45,47182.72,1
